customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST00001,Male,0,Yes,No,35,No,Fiber optic,Two year,No,Credit card,72.65,2479.78,No
CUST00002,Female,0,Yes,No,51,Yes,Fiber optic,Month-to-month,Yes,Mailed check,59.57,2756.62,No
CUST00003,Male,0,Yes,No,37,Yes,DSL,Month-to-month,No,Electronic check,38.04,1469.2,No
CUST00004,Male,0,Yes,No,57,Yes,Fiber optic,One year,Yes,Credit card,104.15,5768.76,No
CUST00005,Male,0,Yes,Yes,8,Yes,Fiber optic,One year,Yes,Credit card,21.1,156.96,No
CUST00006,Female,0,Yes,Yes,20,Yes,Fiber optic,Two year,Yes,Mailed check,51.21,1002.69,Yes
CUST00007,Male,1,No,No,53,Yes,Fiber optic,One year,Yes,Credit card,21.26,1046.87,No
CUST00008,Male,0,No,No,12,Yes,Fiber optic,Month-to-month,Yes,Credit card,29.6,360.02,No
CUST00009,Male,1,No,No,49,Yes,DSL,Month-to-month,Yes,Mailed check,49.71,2347.05,No
CUST00010,Female,0,No,No,17,No,No,Month-to-month,Yes,Electronic check,25.43,371.09,No
CUST00011,Male,0,No,Yes,64,Yes,DSL,Month-to-month,Yes,Electronic check,79.66,4513.73,No
CUST00012,Male,0,No,No,42,Yes,DSL,One year,Yes,Bank transfer,28.69,1232.69,No
CUST00013,Male,1,No,No,29,Yes,DSL,Month-to-month,Yes,Mailed check,90.17,2517.08,No
CUST00014,Male,1,Yes,No,19,Yes,DSL,Month-to-month,Yes,Credit card,25.26,499.17,Yes
CUST00015,Female,0,Yes,No,11,Yes,DSL,Month-to-month,Yes,Credit card,25.93,246.58,No
CUST00016,Male,0,Yes,No,50,Yes,DSL,Month-to-month,Yes,Credit card,50.53,2296.72,No
CUST00017,Female,0,No,Yes,71,Yes,Fiber optic,Month-to-month,No,Credit card,109.66,6919.36,Yes
CUST00018,Female,0,No,No,58,Yes,DSL,Two year,No,Credit card,84.14,4688.66,No
CUST00019,Female,1,Yes,No,34,Yes,Fiber optic,One year,Yes,Electronic check,97.01,3056.11,No
CUST00020,Male,0,No,No,20,Yes,DSL,One year,Yes,Electronic check,34.16,602.21,No
CUST00021,Female,0,Yes,No,50,Yes,No,One year,Yes,Bank transfer,103.41,5059.59,No
CUST00022,Male,0,No,Yes,10,No,Fiber optic,Month-to-month,Yes,Mailed check,20.81,199.21,Yes
CUST00023,Female,1,Yes,Yes,32,Yes,DSL,Two year,Yes,Mailed check,41.31,1196.27,No
CUST00024,Female,1,Yes,No,52,No,Fiber optic,Month-to-month,Yes,Bank transfer,81.61,4014.37,Yes
CUST00025,Female,0,Yes,No,15,Yes,Fiber optic,Month-to-month,No,Credit card,57.52,862.06,No
CUST00026,Female,0,Yes,Yes,3,No,Fiber optic,One year,Yes,Mailed check,118.42,316.56,No
CUST00027,Female,0,Yes,Yes,37,Yes,Fiber optic,Month-to-month,Yes,Credit card,23.03,774.21,Yes
CUST00028,Female,0,Yes,No,40,Yes,Fiber optic,One year,Yes,Electronic check,119.86,4407.12,No
CUST00029,Female,0,No,Yes,72,Yes,Fiber optic,Month-to-month,No,Bank transfer,82.36,5926.04,No
CUST00030,Female,1,No,No,40,Yes,Fiber optic,One year,Yes,Electronic check,75.87,3093.63,No
CUST00031,Male,0,Yes,No,56,Yes,DSL,Month-to-month,No,Credit card,25.95,1344.61,No
CUST00032,Male,1,No,No,23,Yes,Fiber optic,Month-to-month,No,Electronic check,47.33,989.88,Yes
CUST00033,Female,1,No,Yes,11,Yes,Fiber optic,One year,Yes,Bank transfer,112.47,1271.67,Yes
CUST00034,Female,0,Yes,Yes,64,Yes,Fiber optic,Month-to-month,Yes,Electronic check,55.42,3723.77,No
CUST00035,Female,0,Yes,No,8,Yes,DSL,Month-to-month,Yes,Electronic check,86.17,678.38,Yes
CUST00036,Male,1,Yes,No,56,Yes,Fiber optic,Month-to-month,No,Mailed check,119.95,7039.6,No
CUST00037,Female,1,Yes,No,60,Yes,No,One year,No,Mailed check,46.31,2728.57,No
CUST00038,Male,0,No,Yes,10,Yes,DSL,One year,Yes,Electronic check,77.61,773.53,No
CUST00039,Male,0,Yes,No,39,Yes,Fiber optic,Month-to-month,No,Electronic check,89.64,3243.31,Yes
CUST00040,Male,0,No,No,28,Yes,Fiber optic,Two year,Yes,Bank transfer,36.46,956.15,No
CUST00041,Male,1,No,No,49,Yes,Fiber optic,Two year,Yes,Bank transfer,34.87,1501.59,No
CUST00042,Male,0,Yes,No,36,Yes,Fiber optic,One year,No,Electronic check,65.63,2397.06,Yes
CUST00043,Female,0,No,No,13,No,DSL,One year,No,Bank transfer,58.58,789.12,No
CUST00044,Female,0,Yes,No,36,Yes,No,Month-to-month,Yes,Electronic check,91.42,3207.81,Yes
CUST00045,Female,0,No,Yes,26,Yes,Fiber optic,One year,No,Bank transfer,26.95,643.75,No
CUST00046,Female,0,Yes,No,4,Yes,DSL,Month-to-month,No,Electronic check,117.22,412.99,Yes
CUST00047,Female,0,No,Yes,64,Yes,DSL,Month-to-month,No,Bank transfer,21.43,1238.53,No
CUST00048,Male,0,No,No,38,Yes,Fiber optic,Two year,No,Electronic check,80.13,2743.74,No
CUST00049,Female,0,Yes,No,22,Yes,DSL,One year,No,Credit card,76.26,1631.93,No
CUST00050,Female,0,No,Yes,2,Yes,DSL,Month-to-month,Yes,Electronic check,33.47,69.55,No
CUST00051,Male,0,No,No,31,Yes,No,Month-to-month,No,Electronic check,35.09,935.12,No
CUST00052,Female,1,No,Yes,11,Yes,DSL,One year,Yes,Electronic check,99.27,928.4,No
CUST00053,Male,0,No,No,46,Yes,Fiber optic,Month-to-month,No,Credit card,108.76,4853.05,Yes
CUST00054,Female,0,No,No,62,Yes,DSL,Month-to-month,Yes,Bank transfer,48.3,2715.54,No
CUST00055,Male,1,Yes,Yes,69,Yes,Fiber optic,Month-to-month,No,Bank transfer,63.8,4517.14,No
CUST00056,Female,0,Yes,No,64,Yes,Fiber optic,Month-to-month,Yes,Credit card,55.5,3251.68,No
CUST00057,Female,0,No,No,10,Yes,DSL,One year,Yes,Credit card,27.25,247.42,No
CUST00058,Male,0,Yes,Yes,40,No,Fiber optic,Month-to-month,Yes,Bank transfer,87.32,3157.15,No
CUST00059,Male,0,No,Yes,24,Yes,DSL,One year,No,Electronic check,102.52,2162.69,No
CUST00060,Male,0,No,No,44,Yes,No,Month-to-month,No,Credit card,50.49,2146.71,No
CUST00061,Male,0,Yes,No,60,Yes,No,One year,Yes,Electronic check,119.02,6310.27,No
CUST00062,Male,0,Yes,No,62,Yes,Fiber optic,Two year,No,Bank transfer,27.59,1599.27,No
CUST00063,Male,0,No,Yes,17,Yes,Fiber optic,One year,No,Bank transfer,86.18,1380.37,No
CUST00064,Male,0,Yes,Yes,65,Yes,DSL,Two year,Yes,Bank transfer,64.82,3598.57,No
CUST00065,Male,0,No,No,57,Yes,Fiber optic,Two year,Yes,Bank transfer,64.66,3145.17,No
CUST00066,Female,0,Yes,Yes,55,Yes,Fiber optic,Month-to-month,No,Bank transfer,65.76,3450.58,No
CUST00067,Female,0,No,Yes,53,Yes,DSL,One year,Yes,Credit card,45.87,2404.87,No
CUST00068,Male,0,Yes,Yes,56,No,Fiber optic,Two year,No,Electronic check,91.56,5324.4,No
CUST00069,Female,1,No,No,9,Yes,DSL,Month-to-month,No,Electronic check,92.16,734.74,Yes
CUST00070,Female,0,Yes,No,22,Yes,Fiber optic,Month-to-month,No,Bank transfer,48.24,924.01,No
CUST00071,Female,0,No,No,13,Yes,DSL,Two year,No,Credit card,103.53,1158.03,No
CUST00072,Female,0,Yes,No,48,Yes,Fiber optic,One year,Yes,Electronic check,51.68,2324.88,No
CUST00073,Male,0,No,No,18,Yes,DSL,Month-to-month,Yes,Electronic check,92.51,1622.93,No
CUST00074,Female,0,No,No,40,Yes,DSL,Month-to-month,Yes,Electronic check,32.1,1307.25,Yes
CUST00075,Male,1,Yes,Yes,17,Yes,Fiber optic,One year,Yes,Electronic check,36.87,618.35,No
CUST00076,Female,1,Yes,No,15,Yes,No,Month-to-month,Yes,Credit card,51.58,689.89,No
CUST00077,Female,0,Yes,No,15,Yes,Fiber optic,One year,No,Bank transfer,79.39,1122.2,No
CUST00078,Female,1,No,No,63,Yes,DSL,One year,No,Bank transfer,84.55,5497.47,No
